;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Código;Nombre de Comuna;Hombre;Mujer;Total;;;;;
;9112;Padre Las Casas;   38 960;   41 696;   80 656;;;;;
;9113;Perquenco;   3 631;   3 807;   7 438;;;;;
;9114;Pitrufquén;   12 988;   14 053;   27 041;;;;;
;9115;Pucón;   15 767;   16 554;   32 321;;;;;
;9116;Saavedra;   6 275;   6 602;   12 877;;;;;
;9117;Teodoro Schmidt;   7 758;   7 881;   15 639;;;;;
;9118;Toltén;   4 941;   5 100;   10 041;;;;;
;9119;Vilcún;   15 386;   16 189;   31 575;;;;;
;9120;Villarrica;   32 807;   34 930;   67 737;;;;;
;9121;Cholchol;   6 578;   6 589;   13 167;;;;;
;9201;Angol;   25 143;   27 879;   53 022;;;;;
;9202;Collipulli;   11 731;   12 572;   24 303;;;;;
;9203;Curacautín;   8 944;   9 592;   18 536;;;;;
;9204;Ercilla;   3 750;   3 980;   7 730;;;;;
;9205;Lonquimay;   5 125;   5 122;   10 247;;;;;
;9206;Los Sauces;   3 636;   3 712;   7 348;;;;;
;9207;Lumaco;   4 691;   4 562;   9 253;;;;;
;9208;Purén;   5 793;   6 391;   12 184;;;;;
;9209;Renaico;   5 150;   5 536;   10 686;;;;;
;9210;Traiguén;   8 971;   9 902;   18 873;;;;;
;9211;Victoria;   16 600;   17 864;   34 464;;;;;
;10101;Puerto Montt;   136 544;   140 496;   277 040;;;;;
;10102;Calbuco;   18 374;   18 100;   36 474;;;;;
;10103;Cochamó;   2 213;   1 986;   4 199;;;;;
;10104;Fresia;   6 102;   6 218;   12 320;;;;;
;10105;Frutillar;   11 034;   11 520;   22 554;;;;;
;10106;Los Muermos;   8 620;   8 542;   17 162;;;;;
;10107;Llanquihue;   8 826;   9 262;   18 088;;;;;
;10108;Maullín;   7 651;   7 412;   15 063;;;;;
;10109;Puerto Varas;   25 814;   27 128;   52 942;;;;;
;10201;Castro;   22 832;   24 165;   46 997;;;;;
;10202;Ancud;   19 981;   20 968;   40 949;;;;;
;10203;Chonchi;   7 896;   8 182;   16 078;;;;;
;10204;Curaco de Vélez;   1 774;   1 888;   3 662;;;;;
;10205;Dalcahue;   7 403;   7 491;   14 894;;;;;
;10206;Puqueldón;   2 021;   2 027;   4 048;;;;;
;10207;Queilén;   2 859;   2 831;   5 690;;;;;
;10208;Quellón;   14 339;   14 121;   28 460;;;;;
;10209;Quemchi;   4 239;   4 170;   8 409;;;;;
;10210;Quinchao;   3 727;   3 951;   7 678;;;;;
;10301;Osorno;   79 484;   86 971;   166 455;;;;;
;10302;Puerto Octay;   4 517;   4 348;   8 865;;;;;
;10303;Purranque;   9 515;   10 027;   19 542;;;;;
;10304;Puyehue;   5 782;   5 930;   11 712;;;;;
;10305;Río Negro;   6 840;   7 034;   13 874;;;;;
;10306;San Juan de la Costa;   4 042;   3 734;   7 776;;;;;
;10307;San Pablo;   5 357;   5 526;   10 883;;;;;
;10401;Chaitén;   2 085;   1 940;   4 025;;;;;
;10402;Futaleufú;   1 542;   1 520;   3 062;;;;;
;10403;Hualaihué;   4 910;   4 570;   9 480;;;;;
;10404;Palena;    946;    957;   1 903;;;;;
;11101;Coyhaique;   28 170;   29 653;   57 823;;;;;
;11102;Lago Verde;    427;    352;    779;;;;;
;11201;Aysén;   11 522;   11 648;   23 170;;;;;
;11202;Cisnes;   2 598;   2 539;   5 137;;;;;
;11203;Guaitecas;    857;    741;   1 598;;;;;
